Value;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24
32.1;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
32.2;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
32.3;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
32.4;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
32.5;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
32.6;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
32.7;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
32.8;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
32.9;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
33;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
33.1;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
33.2;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
33.3;78;0;0;0;80;78;80;78;F8;0;;;;;;;;;0;0;0
